citing_doi,cited_doi,creation,journal_sc,author_sc
10.1108/jd-12-2013-0166,10.1038/35079151,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1371/journal.pcbi.0010034,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.5539/ass.v9n5p18,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.5210/fm.v2i4.522,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1371/journal.pcbi.1000361,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1145/2362499.2362502,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1145/1217821.1226695,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1108/jd-07-2012-0082,2015-03-09,yes,no
10.1108/jd-12-2013-0166,10.1016/j.websem.2013.05.001,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.3115/1610075.1610091,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1007/s11192-009-0021-2,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1087/2009202,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1007/bf02457980,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1038/502298a,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1016/j.websem.2012.08.001,2015-03-09,no,yes
10.1108/jd-12-2013-0166,10.1145/1498765.1498780,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1073/pnas.0407743101,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1001/jama.295.1.90,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1038/493159a,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1108/eum0000000007123,2015-03-09,yes,no
10.1108/jd-12-2013-0166,10.1145/2494266.2494271,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1038/502295a,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1101/sqb.1972.036.01.015,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1145/1816123.1816198,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1523/jneurosci.0003-08.2008,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1371/journal.pone.0000308,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1007/978-3-642-41242-4_6,2015-03-09,no,yes
10.1108/jd-12-2013-0166,10.1002/asi.4630240406,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1525/bio.2010.60.5.2,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1007/978-3-540-89704-0_17,2015-03-09,no,yes
10.1108/jd-12-2013-0166,10.1023/a:1021919228368,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1371/journal.pntd.0000228,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1177/030631277500500106,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1007/s10579-012-9211-2,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1136/bmj.b2680,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1126/science.149.3683.510,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1007/978-3-319-03524-6_29,2015-03-09,no,yes
10.1108/jd-12-2013-0166,10.1038/495437a,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.17615/cjkh-0b25,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.5860/crln.73.10.8846,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1177/030631277400400102,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1136/bmj.a568,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1002/(sici)1097-4571(198909)40:5<342::aid-asi7>3.0.co,2015-03-09,no,no
10.1108/jd-12-2013-0166,10.1042/bio03106023,2015-03-09,no,no
10.1371/journal.pcbi.0010034,10.1186/1471-2105-6-s1-s1,2005,no,no
10.5539/ass.v9n5p18,10.29173/istl2081,2013-04-27,no,no
10.5539/ass.v9n5p18,10.1007/s11192-006-0124-y,2013-04-27,no,no
10.1371/journal.pcbi.1000361,10.1186/1471-2105-8-17,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1371/journal.pcbi.0010034,2009-04-17,yes,no
10.1371/journal.pcbi.1000361,10.1016/j.jbi.2008.03.004,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1087/095315108x254476,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1016/s0140-6736(99)80012-9,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1016/j.febslet.2008.02.073,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1371/journal.pntd.0000154,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1087/2009202,2009-04-17,no,yes
10.1371/journal.pcbi.1000361,10.1038/nbt.1411,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1007/978-3-540-69828-9_15,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1038/nature07631,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1016/j.febslet.2008.02.071,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1038/447142a,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1038/448130b,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1126/science.1093857,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1038/nature07632,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1093/bioinformatics/btn534,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1126/science.314.5806.1682b,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1371/journal.pntd.0000228,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1016/j.febslet.2008.02.072,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1087/095315107x243884,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1093/bib/bbn044,2009-04-17,no,yes
10.1371/journal.pcbi.1000361,10.1007/s10579-007-9019-7,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1016/j.ympev.2006.04.006,2009-04-17,no,no
10.1371/journal.pcbi.1000361,10.1016/j.jbi.2008.12.009,2009-04-17,no,no
